lat,long,no__laporan
-6.17883,106.7928,2
-6.151383,106.87708,2
-6.25048,106.8676,2
-6.216804,106.926052,2
-6.316193,106.89857,2
-6.30971,106.83096,2
-6.256474,106.85351,2
-6.230606,106.825822,2
-6.21227,106.831812,2
-6.169811,106.795233,2
-6.301961,106.836136,2
-6.223935,106.92846,2
-6.310774,106.889946,2
-6.14927,106.787094,2
-6.29669,106.773345,2
-6.32276,106.811333,2
-6.25015,106.8681,2
-6.187403,106.739273,2
-6.223647,106.791092,2
-6.17274,106.7658,2
-6.185944,106.801428,2
-6.250161,106.867934,2
-6.263232,106.81821,2
-6.226874,106.810524,2
-6.3175,106.883231,2
-6.26402,106.7961,2
-6.166175,106.834404,2
-6.225641,106.83062,2
-6.207594,106.75527,2
-6.249408,106.9059,2
-6.250231,106.868001,2
-6.141205,106.835353,2
-6.136628,106.810623,2
-6.237984,106.762351,2
-6.26057,106.7908,2
-6.154929,106.7759,2
-6.213572,106.85107,2
-6.22368,106.8615,2
-6.212439,106.771936,2
-6.25023,106.868,2
-6.133117,106.815186,2
-6.182339,106.764479,2
-6.2507,106.8682,2
-6.182167,106.856266,2
-6.25004,106.868,2
-6.194167,106.868333,2
-6.226342,106.821462,2
-6.20102,106.8537,2
-6.203832,106.91601,2
-6.242866,106.770487,2
-6.163437,106.87106,2
-6.25046,106.8685,2
-6.18409,106.8477,2
-6.198874,106.738342,2
-6.15182,106.8279,2
-6.18322,106.7996,2
-6.25029,106.8685,2
-6.17476,106.8736,2
-6.108238,106.773323,2
-6.179123,106.84919,2
-6.261385,106.799218,2
-6.281626,106.8528,2
-6.10961,106.8028,2
-6.271409,106.79331,2
-6.181579,106.828389,2
-6.25051,106.8684,2
-6.25062,106.861469,2
-6.3021,106.8368,2
-6.25036,106.8678,2
-6.17463,106.8735,2
-6.21645,106.8977,2
-6.17688,106.8199,2
-6.21203,106.8779,2
-6.185127,106.83126,2
-6.148611,106.775833,2
-6.133825,106.718956,2
-6.304932,106.881505,2
-6.169292,106.90155,2
-6.152522,106.75866,2
-6.25001,106.8681,2
-6.210519,106.84157,2
-6.31288,106.831,2
-6.34543,106.82737,2
-6.164444,106.784444,2
-6.15245,106.8152,2
-6.23801,106.8578,2
-6.165178,106.801895,2
-6.1404,106.69252,2
-6.172066,106.817047,2
-6.221887,106.77188,2
-6.176875,106.783588,2
-6.245504,106.909457,2
-6.22863,106.9102,2
-6.171777,106.79648,2
-6.320743,106.882818,2
-6.23458,106.9007,2
-6.327147,106.821709,2
-6.133818,106.89971,2
-6.274167,106.820833,2
-6.172312,106.7427,2
-6.214944,106.865095,2
-6.192579,106.756335,2
-6.22365,106.8615,2
-6.148523,106.702718,2
-6.213846,106.82687,2
-6.289167,106.871389,2
-6.31578,106.816246,2
-6.250196,106.867821,2
-6.15553,106.7874,2
-6.19189,106.7944,2
-6.22486,106.9125,2
-6.160872,106.812131,2
-6.23931,106.7525,2
-6.2503,106.8685,2
-6.24227,106.8196,2
-6.18257,106.8562,2
-6.31471,106.7936,2
-6.231536,106.895943,2
-6.2503,106.8678,2
-6.250368,106.868534,2
-6.181986,106.808706,2
-6.25042,106.8677,2
-6.34955,106.812813,2
-6.249249,106.85539,2
-6.180535,106.873931,2
-6.203493,106.8689,2
-6.224349,106.857547,2
-6.322281,106.820656,2
-6.17882,106.7927,2
-6.216278,106.909361,2
-6.20791,106.8637,2
-6.254041,106.906165,2
-6.20752,106.8782,2
-6.233192,106.771841,2
-6.110576,106.9445,2
-6.226281,106.88917,2
-6.314652,106.885255,2
-6.22348,106.8613,2
-6.157207,106.85409,2
-6.158455,106.787192,2
-6.1575,106.895278,2
-6.21448,106.7799,2
-6.25235,106.8531,2
-6.309,106.870586,2
-6.25009,106.8681,2
-6.19687,106.806076,2
-6.22359,106.8613,2
-6.106919,106.932175,2
-6.303394,106.821114,2
-6.22346,106.8616,2
-6.237778,106.765278,2
-6.22958,106.880714,2
-6.22363,106.8615,2
-6.272759,106.805084,2
-6.263291,106.83767,2
-6.14099,106.7242,2
-6.22195,106.861,2
-6.240228,106.830261,2
-6.194241,106.726324,2
-6.209496,106.76872,2
-6.173611,106.788125,2
-6.242841,106.770436,2
-6.104653,106.706358,2
-6.192225,106.860713,2
-6.185105,106.872106,1
-6.200094,106.784677,1
-6.169545,106.795826,1
-6.192581,106.884583,1
-6.310649,106.86293,1
-6.205522,106.821997,1
-6.184303,106.807462,1
-6.21659,106.848599,1
-6.161204,106.826503,1
-6.34696,106.80976,1
-6.114625,106.890746,1
-6.171726,106.898267,1
-6.241035,106.78985,1
-6.303758,106.860827,1
-6.166378,106.877917,1
-6.313126,106.800429,1
-6.19102,106.7579,1
-6.219948,106.740601,1
-6.197736,106.868732,1
-6.145877,106.901113,1
-6.153536,106.833865,1
-6.150066,106.72687,1
-6.231157,106.923319,1
-6.177092,106.894491,1
-6.142259,106.771052,1
-6.193867,106.818508,1
-6.156196,106.910444,1
-6.229362,106.935596,1
-6.176898,106.791325,1
-6.186704,106.860557,1
-6.241766,106.859144,1
-6.216482,106.912435,1
-6.250076,106.842857,1
-6.110972,106.883482,1
-6.18299,106.783573,1
-6.14619,106.9234,1
-6.117874,106.792941,1
-6.159221,106.743841,1
-6.146244,106.901731,1
-6.22951,106.8268,1
-6.19507,106.8627,1
-6.167655,106.81211,1
-6.108922,106.932676,1
-6.150349,106.859957,1
-6.284829,106.836593,1
-6.216688,106.927238,1
-6.163994,106.763105,1
-6.185833,106.757208,1
-6.19224,106.7563,1
